CODIGO;DESCRIPCION;PVP;PVD
#HERA-S-084023230B;Luminaria Lineal de Sobreponer. LED 100W. 110-277V. 4.000?K. Dim. 0-10V. 2248;422720;354539
#HERA-S-104020129B;Luminaria Lineal Mini de Sobreponer. LED 100W. 3.000?K. 120/277V. 2808 mm. Color;564867;473759
#HERA-S-124013254W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim.0-10V. 3368 mm.;583266;489191
#HERA-S-164013929W;Luminaria Lineal Mini de Sobreponer. LED. 100W. Dim. 0-10V. 3.000?K. 120/277V. 4;677695;568389
#HERA-S-164021730W;Luminaria Lineal de Sobreponer. LED 100W. 110-277V. 4.000?K. Dim. 0-10V. 4488 mm;798864;670015
#HERA-S-164043254W;Luminaria Lineal de Sobreponer. LED 200W. 4.000?K. 110-277V. Dim. 0-10V. 4488 mm;931540;781291
#LECCO-041013254W?;Luminaria Lineal con difusor Opal. LED 50W. 4.000?K. Dim.0-10V. 120-277V. Color;191207;160367
#V32-LED-010130;Luminaria Hermetica Lente Opal. LED 50W. 4.000?K.  Dim. 0-10V. 120-277V.;206158;174922
#V32T-L2X18W-4K-AM;Luminaria hermetica para tubo LED. 2x18W. 120V. 4.000?K. Tubo American;65201;55322
#V32T-L2X18W-6K-AM;Luminaria hermetica para tubo LED. 2x18W. 120V. 6.500?K. Tubo Americanlite.;58903;49978
#V32T-L2X25-4K-AM;Luminaria Hermetica Tubo LED 2x25W. 100-277V. 4.000?K. AmericanLite 6.500 Lumene;154417;129511
0-0219885-5;***INACTIVO***;20899;17731
0-0219885-7;Patch cord 7 ft GRis Cat6 Amp.;23218;19697
0-0406339;Terminal para paneles.;866;731
0-0406339-1;Blank Insert Almond.;6378;5412
0-0557505-1;Face Plate 2 PTS almendra.;9244;7840
0-1375014-2;Patch Panel 24 pts.cat 6 MOdular.;353571;300000
0-1375015-2;Patch panel 48 pts cat 6 MOdular.;621437;527277
0-1375055-1;Jack Cat.6 ALMENDRA AMP.;38950;33042
0-1375055-6;Jack Cat.6 Azul AMP.;14731;12504
0-1375055-7;Jack Cat.6 rojo AMP.;19504;16546
0000201;PANEL SOLAR BIFACIAL 610W GCL I;982143;833333
000825;Bombillo Sodio 70W rosca E-27 Philips.;64294;54546
001760;"Cable 1/16"" 7x7, Alma Acero Inoxidable (316)";1345;1143
003231;Luminaria LED de emergencia Micky Ovlo 2x3W.;66768;56652
00405900;***INACTIVO***;25000;21218
00405902;Pulsador arranque 22MM Metalico Verde.;17866;15160
00405903;Pulsador arranque 22MM Metalico rojo.;17866;15160
